"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 12 17:20:24 GMT 2023","Thu Oct 12 17:20:25 GMT 2023","250","firefox","api.basic.example.spec.ts","","","","get inventory",""
"passed","Thu Oct 12 17:20:09 GMT 2023","Thu Oct 12 17:20:14 GMT 2023","4967","chromium","api.data.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Thu Oct 12 17:21:26 GMT 2023","Thu Oct 12 17:21:28 GMT 2023","1582","webkit","ui.example.spec.ts","","","","Get Started doc intro",""
"passed","Thu Oct 12 17:20:52 GMT 2023","Thu Oct 12 17:20:57 GMT 2023","5670","firefox","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"passed","Thu Oct 12 17:20:29 GMT 2023","Thu Oct 12 17:20:34 GMT 2023","4221","firefox","api.data.class.example.spec.ts","","","","API SignUp | Login UI",""
"broken","Thu Oct 12 17:17:31 GMT 2023","Thu Oct 12 17:18:02 GMT 2023","30321","chromium","api.data.class.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Thu Oct 12 17:20:15 GMT 2023","Thu Oct 12 17:20:17 GMT 2023","2152","chromium","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Thu Oct 12 17:20:46 GMT 2023","Thu Oct 12 17:20:49 GMT 2023","3247","firefox","api.data.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Thu Oct 12 17:20:34 GMT 2023","Thu Oct 12 17:20:36 GMT 2023","1968","firefox","api.data.class.example.spec.ts","","","","Login UI - Data From JSON",""
"failed","Thu Oct 12 17:19:38 GMT 2023","Thu Oct 12 17:19:38 GMT 2023","639","chromium","api.data.example.spec.ts","","","","API SignUp | Login UI",""
"skipped","Thu Oct 12 17:20:24 GMT 2023","Thu Oct 12 17:20:24 GMT 2023","35","firefox","a11y.lighthouse.spec.ts","","","","Accessibility test",""
"passed","Thu Oct 12 17:21:01 GMT 2023","Thu Oct 12 17:21:01 GMT 2023","144","webkit","api.basic.example.spec.ts","","","","get inventory",""
"broken","Thu Oct 12 17:19:04 GMT 2023","Thu Oct 12 17:19:35 GMT 2023","30315","chromium","api.data.class.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Thu Oct 12 17:20:59 GMT 2023","Thu Oct 12 17:21:00 GMT 2023","1253","firefox","ui.example.spec.ts","","","","Get Started doc intro",""
"passed","Thu Oct 12 17:21:14 GMT 2023","Thu Oct 12 17:21:16 GMT 2023","2794","webkit","api.data.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Thu Oct 12 17:21:17 GMT 2023","Thu Oct 12 17:21:19 GMT 2023","2647","webkit","api.ui.spec.ts","","","","API SignUp | Login UI",""
"failed","Thu Oct 12 17:21:12 GMT 2023","Thu Oct 12 17:21:13 GMT 2023","1231","webkit","api.data.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Thu Oct 12 17:20:23 GMT 2023","Thu Oct 12 17:20:23 GMT 2023","797","chromium","ui.example.spec.ts","","","","Get Started doc intro",""
"passed","Thu Oct 12 17:21:02 GMT 2023","Thu Oct 12 17:21:07 GMT 2023","4943","webkit","api.data.class.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Thu Oct 12 17:21:07 GMT 2023","Thu Oct 12 17:21:09 GMT 2023","2124","webkit","api.data.class.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Thu Oct 12 17:20:57 GMT 2023","Thu Oct 12 17:20:59 GMT 2023","1073","firefox","ui.example.spec.ts","","","","basic test without POM",""
"passed","Thu Oct 12 17:20:49 GMT 2023","Thu Oct 12 17:20:52 GMT 2023","2411","firefox","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Thu Oct 12 17:20:17 GMT 2023","Thu Oct 12 17:20:22 GMT 2023","4966","chromium","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"skipped","Thu Oct 12 17:21:01 GMT 2023","Thu Oct 12 17:21:01 GMT 2023","34","webkit","a11y.lighthouse.spec.ts","","","","Accessibility test",""
"passed","Thu Oct 12 17:20:22 GMT 2023","Thu Oct 12 17:20:23 GMT 2023","850","chromium","ui.example.spec.ts","","","","basic test without POM",""
"failed","Thu Oct 12 17:20:42 GMT 2023","Thu Oct 12 17:20:45 GMT 2023","3851","firefox","api.data.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Thu Oct 12 17:21:25 GMT 2023","Thu Oct 12 17:21:26 GMT 2023","1315","webkit","ui.example.spec.ts","","","","basic test without POM",""
"passed","Thu Oct 12 17:21:19 GMT 2023","Thu Oct 12 17:21:25 GMT 2023","5358","webkit","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"passed","Thu Oct 12 17:16:19 GMT 2023","Thu Oct 12 17:16:29 GMT 2023","9536","chromium","a11y.lighthouse.spec.ts","","","","Accessibility test",""
"passed","Thu Oct 12 17:16:29 GMT 2023","Thu Oct 12 17:16:29 GMT 2023","256","chromium","api.basic.example.spec.ts","","","","get inventory",""
