"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 12 17:35:29 GMT 2023","Thu Oct 12 17:35:31 GMT 2023","1216","webkit","ui.example.spec.ts","","","","basic test without POM",""
"failed","Thu Oct 12 17:34:44 GMT 2023","Thu Oct 12 17:34:47 GMT 2023","3879","firefox","api.data.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Thu Oct 12 17:34:36 GMT 2023","Thu Oct 12 17:34:37 GMT 2023","1703","firefox","api.data.class.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Thu Oct 12 17:34:29 GMT 2023","Thu Oct 12 17:34:30 GMT 2023","828","chromium","ui.example.spec.ts","","","","basic test without POM",""
"passed","Thu Oct 12 17:35:19 GMT 2023","Thu Oct 12 17:35:24 GMT 2023","4569","webkit","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Thu Oct 12 17:34:14 GMT 2023","Thu Oct 12 17:34:15 GMT 2023","1383","chromium","api.data.class.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Thu Oct 12 17:35:31 GMT 2023","Thu Oct 12 17:35:32 GMT 2023","1623","webkit","ui.example.spec.ts","","","","Get Started doc intro",""
"passed","Thu Oct 12 17:34:48 GMT 2023","Thu Oct 12 17:34:51 GMT 2023","3089","firefox","api.data.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Thu Oct 12 17:34:11 GMT 2023","Thu Oct 12 17:34:14 GMT 2023","2563","chromium","api.data.class.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Thu Oct 12 17:34:01 GMT 2023","Thu Oct 12 17:34:11 GMT 2023","9358","chromium","a11y.lighthouse.spec.ts","","","","Accessibility test",""
"passed","Thu Oct 12 17:35:03 GMT 2023","Thu Oct 12 17:35:08 GMT 2023","5001","webkit","api.data.class.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Thu Oct 12 17:34:32 GMT 2023","Thu Oct 12 17:34:36 GMT 2023","3589","firefox","api.data.class.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Thu Oct 12 17:34:24 GMT 2023","Thu Oct 12 17:34:29 GMT 2023","4593","chromium","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"passed","Thu Oct 12 17:34:32 GMT 2023","Thu Oct 12 17:34:32 GMT 2023","136","firefox","api.basic.example.spec.ts","","","","get inventory",""
"failed","Thu Oct 12 17:34:17 GMT 2023","Thu Oct 12 17:34:18 GMT 2023","667","chromium","api.data.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Thu Oct 12 17:35:03 GMT 2023","Thu Oct 12 17:35:03 GMT 2023","125","webkit","api.basic.example.spec.ts","","","","get inventory",""
"skipped","Thu Oct 12 17:35:02 GMT 2023","Thu Oct 12 17:35:03 GMT 2023","37","webkit","a11y.lighthouse.spec.ts","","","","Accessibility test",""
"passed","Thu Oct 12 17:34:54 GMT 2023","Thu Oct 12 17:34:58 GMT 2023","4811","firefox","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"passed","Thu Oct 12 17:34:51 GMT 2023","Thu Oct 12 17:34:54 GMT 2023","2440","firefox","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Thu Oct 12 17:34:30 GMT 2023","Thu Oct 12 17:34:31 GMT 2023","806","chromium","ui.example.spec.ts","","","","Get Started doc intro",""
"passed","Thu Oct 12 17:34:22 GMT 2023","Thu Oct 12 17:34:24 GMT 2023","2801","chromium","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Thu Oct 12 17:35:08 GMT 2023","Thu Oct 12 17:35:10 GMT 2023","2293","webkit","api.data.class.example.spec.ts","","","","Login UI - Data From JSON",""
"skipped","Thu Oct 12 17:34:32 GMT 2023","Thu Oct 12 17:34:32 GMT 2023","36","firefox","a11y.lighthouse.spec.ts","","","","Accessibility test",""
"passed","Thu Oct 12 17:35:24 GMT 2023","Thu Oct 12 17:35:29 GMT 2023","5436","webkit","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"passed","Thu Oct 12 17:34:11 GMT 2023","Thu Oct 12 17:34:11 GMT 2023","131","chromium","api.basic.example.spec.ts","","","","get inventory",""
"passed","Thu Oct 12 17:35:00 GMT 2023","Thu Oct 12 17:35:01 GMT 2023","1193","firefox","ui.example.spec.ts","","","","Get Started doc intro",""
"passed","Thu Oct 12 17:34:58 GMT 2023","Thu Oct 12 17:35:00 GMT 2023","1106","firefox","ui.example.spec.ts","","","","basic test without POM",""
"passed","Thu Oct 12 17:34:19 GMT 2023","Thu Oct 12 17:34:20 GMT 2023","1828","chromium","api.data.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Thu Oct 12 17:35:15 GMT 2023","Thu Oct 12 17:35:18 GMT 2023","2702","webkit","api.data.example.spec.ts","","","","Login UI - Data From JSON",""
"failed","Thu Oct 12 17:35:13 GMT 2023","Thu Oct 12 17:35:15 GMT 2023","1315","webkit","api.data.example.spec.ts","","","","API SignUp | Login UI",""
