"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 11 19:54:12 GMT 2023","Wed Oct 11 19:54:16 GMT 2023","4646","firefox","api.data.class.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Wed Oct 11 19:53:54 GMT 2023","Wed Oct 11 19:53:56 GMT 2023","2291","chromium","api.data.example.spec.ts","","","","Login UI - Data From JSON",""
"skipped","Wed Oct 11 19:54:44 GMT 2023","Wed Oct 11 19:54:44 GMT 2023","44","webkit","a11y.lighthouse.spec.ts","","","","Accessibility test",""
"passed","Wed Oct 11 19:54:35 GMT 2023","Wed Oct 11 19:54:39 GMT 2023","4760","firefox","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"skipped","Wed Oct 11 19:54:06 GMT 2023","Wed Oct 11 19:54:06 GMT 2023","40","firefox","a11y.lighthouse.spec.ts","","","","Accessibility test",""
"passed","Wed Oct 11 19:53:48 GMT 2023","Wed Oct 11 19:53:50 GMT 2023","2120","chromium","api.data.class.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Wed Oct 11 19:54:16 GMT 2023","Wed Oct 11 19:54:18 GMT 2023","1762","firefox","api.data.class.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Wed Oct 11 19:54:44 GMT 2023","Wed Oct 11 19:54:44 GMT 2023","425","webkit","api.basic.example.spec.ts","","","","get inventory",""
"passed","Wed Oct 11 19:53:58 GMT 2023","Wed Oct 11 19:54:03 GMT 2023","4457","chromium","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"passed","Wed Oct 11 19:55:10 GMT 2023","Wed Oct 11 19:55:12 GMT 2023","1744","webkit","ui.example.spec.ts","","","","Get Started doc intro",""
"passed","Wed Oct 11 19:55:04 GMT 2023","Wed Oct 11 19:55:08 GMT 2023","4769","webkit","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"passed","Wed Oct 11 19:54:58 GMT 2023","Wed Oct 11 19:55:00 GMT 2023","2798","webkit","api.data.example.spec.ts","","","","Login UI - Data From JSON",""
"failed","Wed Oct 11 19:54:56 GMT 2023","Wed Oct 11 19:54:57 GMT 2023","1357","webkit","api.data.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Wed Oct 11 19:54:32 GMT 2023","Wed Oct 11 19:54:35 GMT 2023","2252","firefox","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Wed Oct 11 19:54:04 GMT 2023","Wed Oct 11 19:54:05 GMT 2023","879","chromium","ui.example.spec.ts","","","","Get Started doc intro",""
"passed","Wed Oct 11 19:54:29 GMT 2023","Wed Oct 11 19:54:32 GMT 2023","3551","firefox","api.data.example.spec.ts","","","","Login UI - Data From JSON",""
"broken","Wed Oct 11 19:53:17 GMT 2023","Wed Oct 11 19:53:47 GMT 2023","30378","chromium","api.data.class.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Wed Oct 11 19:52:14 GMT 2023","Wed Oct 11 19:52:14 GMT 2023","410","chromium","api.basic.example.spec.ts","","","","get inventory",""
"passed","Wed Oct 11 19:54:50 GMT 2023","Wed Oct 11 19:54:53 GMT 2023","2289","webkit","api.data.class.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Wed Oct 11 19:54:41 GMT 2023","Wed Oct 11 19:54:42 GMT 2023","1354","firefox","ui.example.spec.ts","","","","Get Started doc intro",""
"passed","Wed Oct 11 19:54:06 GMT 2023","Wed Oct 11 19:54:07 GMT 2023","544","firefox","api.basic.example.spec.ts","","","","get inventory",""
"passed","Wed Oct 11 19:54:39 GMT 2023","Wed Oct 11 19:54:41 GMT 2023","1283","firefox","ui.example.spec.ts","","","","basic test without POM",""
"passed","Wed Oct 11 19:54:03 GMT 2023","Wed Oct 11 19:54:04 GMT 2023","971","chromium","ui.example.spec.ts","","","","basic test without POM",""
"passed","Wed Oct 11 19:52:05 GMT 2023","Wed Oct 11 19:52:14 GMT 2023","8991","chromium","a11y.lighthouse.spec.ts","","","","Accessibility test",""
"failed","Wed Oct 11 19:54:24 GMT 2023","Wed Oct 11 19:54:28 GMT 2023","3952","firefox","api.data.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Wed Oct 11 19:55:08 GMT 2023","Wed Oct 11 19:55:10 GMT 2023","1442","webkit","ui.example.spec.ts","","","","basic test without POM",""
"passed","Wed Oct 11 19:55:01 GMT 2023","Wed Oct 11 19:55:04 GMT 2023","2867","webkit","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Wed Oct 11 19:53:56 GMT 2023","Wed Oct 11 19:53:58 GMT 2023","2020","chromium","api.ui.spec.ts","","","","API SignUp | Login UI",""
"failed","Wed Oct 11 19:53:53 GMT 2023","Wed Oct 11 19:53:53 GMT 2023","671","chromium","api.data.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Wed Oct 11 19:54:45 GMT 2023","Wed Oct 11 19:54:50 GMT 2023","5768","webkit","api.data.class.example.spec.ts","","","","API SignUp | Login UI",""
